lakecode,lakename,lakeorriver,continent,country,state,latitude,longitude,elevation,mean_depth,max_depth,surface_area,shoreline,largest_city_population,power_plant_discharge,inlet_streams,area_drained,landuse_code,conductivity_us,secchi_depth,contributor,filename,initials,lat_decimal,lon_decimal,median_depth,comments
GAH3,CHINA LAKE,L,N,UNITED STATES,ME,44 26 02,69 32 44,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.43,-69.54,-999,-999
GAH4,COBBOSSEECONTEE LAKE,L,N,UNITED STATES,ME,44 16 18,69 55 46,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.28,-69.93,-999,-999
GAH5,DAMARISCOTTA LAKE,L,N,UNITED STATES,ME,44 10 57,69 28 45,15,-999,35,17.5,70.3,2111,N,Y,147,AF,-999,-999,HODGKINS,GAH,GAH,44.19,-69.48,-999,-999
GAH6,EAGLE LAKE,L,N,UNITED STATES,ME,47 02 54,68 35 07,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,47.05,-68.58,-999,-999
GAH7,EMBDEN POND,L,N,UNITED STATES,ME,44 56 20,69 57 12,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,44.94,-69.95,-999,-999
GAH8,FIRST CONNECTICUT LAKE,L,N,UNITED STATES,NH,45 05 18,71 14 55,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,45.09,-71.25,-999,-999
GAH9,HOUGHTONS (HOOSICWHISICK) POND,L,N,UNITED STATES,MA,42 12 26,71 05 47,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HODGKINS,GAH,GAH,42.21,-71.09,-999,-999
GC1,SKIFF LAKE,L,N,CANADA,NB,45.841934,67.50427,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,CONKLIN,GC,GC,45.84,-67.5,-999,-999
GW202,RUNN,L,E,SWEDEN,-999,60.46888,15.59265,106.8,8.3,29.5,64.7024,-999,-999,-,-,-999,-999,-999,-999,WEYHENMEYER,-999,GW,60.47,15.59,-999,These data from Gesa Weyhenmeyer. SLU/ Swedish University of Agricultural Sciences Uppsala. Sweden.
GW240,ORSASJON,L,E,SWEDEN,-999,61.0162,14.581,159.9,17.3,92.2,52.827,-999,-999,-,-,-999,-999,-999,-999,WEYHENMEYER,-999,GW,61.02,14.58,-999,These data from Gesa Weyhenmeyer. SLU/ Swedish University of Agricultural Sciences Uppsala. Sweden.
GW341,NACKTEN,L,E,SWEDEN,-999,62.91277,14.57243,323.95,15.5,44,84.2389,-999,-999,-,-,-999,-999,-999,-999,WEYHENMEYER,-999,GW,62.91,14.57,-999,These data from Gesa Weyhenmeyer. SLU/ Swedish University of Agricultural Sciences Uppsala. Sweden.
GW369,KALLSJON,L,E,SWEDEN,-999,63.39195,13.38597,380.525,40.1,102.825,156.3551,-999,-999,-,-,-999,-999,-999,-999,WEYHENMEYER,-999,GW,63.39,13.39,-999,These data from Gesa Weyhenmeyer. SLU/ Swedish University of Agricultural Sciences Uppsala. Sweden.
GW484,STORUMAN,L,E,SWEDEN,-999,65.0958,17.10429,350.125,25.6,128.75,163.47221,-999,-999,-,-,-999,-999,-999,-999,WEYHENMEYER,-999,GW,65.1,17.1,-999,These data from Gesa Weyhenmeyer. SLU/ Swedish University of Agricultural Sciences Uppsala. Sweden.
GW512,GOUTA,L,E,SWEDEN,-999,65.60291,15.52197,438.63333,17.2,58,31.5935,-999,-999,-,-,-999,-999,-999,-999,WEYHENMEYER,-999,GW,65.6,15.52,-999,These data from Gesa Weyhenmeyer. SLU/ Swedish University of Agricultural Sciences Uppsala. Sweden.
GW592,JUKKASJARVI,L,E,SWEDEN,-999,67.79864,20.81052,322.35,-999,-999,13.50505,-999,-999,-,-,-999,-999,-999,-999,WEYHENMEYER,-999,GW,67.8,20.81,-999,These data from Gesa Weyhenmeyer. SLU/ Swedish University of Agricultural Sciences Uppsala. Sweden.
HB01,MIRROR LAKE,L,N,UNITED STATES,NH,43 56 35,71 41 35,213,-999,11.5,0.15,-999,-999,-,-,-999,-999,-999,-999,LIKENS,GEL,GEL,43.94,-71.69,-999,-999
HMFL,FISHER LAKE,L,N,UNITED STATES,WISCONSIN,45 55 22 N,88 14 44 W,-999,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,HANK MURPHY,HMFL,HMFL,45.92,-88.24,-999,-999
JB1,DAMARISCOTTA LAKE,L,N,UNITED STATES,ME,44 10 N,69 30 W,15,-999,35,17.5,70.3,2111,N,Y,147,AF,-999,-999,BIRKETT,JB,JB,44.17,-69.5,-999,-999
JD01,LAKE KEGONSA,L,N,UNITED STATES,WI,42.97,89.25,256.95,5.18,9.45,12.99,-999,-999,-,-,-999,-999,-999,-999,DANIELSON,JD01,JD01,42.97,-89.25,-999,-999
JGL01,SPIRIT LAKE,L,N,UNITED STATES,IA,43 27 30 N,95 06 00 W,427,-999,3.23,4.31,-999,-999,-,-,61.55,-999,-999,-999,LARSCHEID,JGL,JGL,43.46,-95.1,-999,-999
JGL02,EAST OKOBOJI LAKE,L,N,UNITED STATES,IA,43 23 24 N,95 06 00 W,426,3,6.71,7.46,-999,-999,-,-,47.67,-999,-999,-999,LARSCHEID,JGL,JGL,43.39,-95.1,-999,-999
JGL03,WEST OKOBOJI LAKE,L,N,UNITED STATES,IA,43 23 24 N,95 09 36 W,426,-999,41.45,15.65,-999,-999,-,-,61.34,-999,-999,-999,LARSCHEID,JGL,JGL,43.39,-95.16,-999,-999
JJM1,ALLEQUASH LAKE,L,N,UNITED STATES,WI,46 02,89 37,494.2,2.9,8,1.684,-999,-999,N,N,-999,F,88,3.1,MAGNUSON,JJM,JJM,46.03,-89.62,-999,-999
JJM10,NORTH TWIN LAKE,L,N,UNITED STATES,WI,46 03,89 08,512.67,8.53,-999,11.26,-999,-999,-,-,-999,-999,-999,1.83,MAGNUSON,JJM,JJM,46.05,-89.13,-999,-999
JJM11,(BIG) LONG LAKE,L,N,UNITED STATES,WI,45 45,91 39,-999,7.92,-999,13.32,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,45.75,-91.65,-999,-999
JJM13,LAKE KOSHKONONG,L,N,UNITED STATES,WI,42 52,88 57,236.53,1.52,-999,42.42,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,42.87,-88.95,-999,-999
JJM14,LAKE SHISHEBOGAMA,L,N,UNITED STATES,WI,45 54,89 49,479.7,5.18,-999,2.9,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,45.9,-89.82,-999,-999
JJM15,LAKE ESCANABA,L,N,UNITED STATES,WI,46 04,89 35,502.92,4.27,-999,1.17,-999,-999,-,-,-999,-999,-999,2.59,MAGNUSON,JJM,JJM,46.07,-89.58,-999,-999
JJM16,LAKE MALLALIEU,L,N,UNITED STATES,WI,44 59,92 46,210.92,1.52,-999,1.14,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,44.98,-92.77,-999,-999
JJM17,LAKE NEBISH,L,N,UNITED STATES,WI,46 03,89 35,502.92,5.49,-999,0.37,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,46.05,-89.58,-999,-999
JJM18,LAKE WINGRA,L,N,UNITED STATES,WI,43 03,89 25,258.47,-999,-999,1.4,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,43.05,-89.42,-999,-999
JJM19,MYSTERY LAKE,L,N,UNITED STATES,WI,46 03,89 34,506.27,-999,-999,0.08,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,46.05,-89.57,-999,-999
